id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas
4127965,13095.0,41508.66743031691,0.2851683891731178,0.3540383353233752,0.13965151862600128,5.0,0.6,1.0,0.8,0.0,18.050847457627118,16.136363636363637,0.024413145539906103,PR,Sul,0,0,1
4128005,20909.0,76612.17657468077,0.25368906875819575,0.28037539492074853,0.08298596758925089,8.0,0.125,0.875,0.5,0.375,21.26865671641791,13.194444444444445,0.1656140350877193,PR,Sul,0,0,1
4128104,112500.0,32663.27111111111,0.04183159062878586,0.1749760605270055,0.15492126623943603,22.0,0.0,1.0,0.3181818181818182,0.0,22.513618677042803,12.60566448801743,0.07466297960594538,PR,Sul,0,0,1
4128203,57913.0,27907.982663650648,0.06135684468389847,0.23702344016724905,0.1767901130454535,24.0,0.08333333333333333,0.4583333333333333,0.375,0.5833333333333335,20.096774193548388,13.484848484848484,0.11653290529695023,PR,Sul,0,0,1
4128302,2614.0,40162.58607498087,0.6173650463734583,0.04235377164258123,0.16524833820270984,1.0,0.0,1.0,1.0,0.0,14.75,8.428571428571429,0.00847457627118644,PR,Sul,0,0,1
4128401,11273.0,29467.488689789763,0.34668458466734126,0.13351357735437103,0.1738929197296978,3.0,0.0,0.6666666666666666,1.0,0.0,14.03225806451613,9.456521739130435,0.004597701149425287,PR,Sul,0,0,1
4128500,19386.0,32125.45135664913,0.2186863890465807,0.11427732651397385,0.16562059531451997,6.0,0.16666666666666666,1.0,0.6666666666666667,0.33333333333333337,19.423728813559322,13.80722891566265,0.002617801047120419,PR,Sul,0,0,1
4128534,12088.0,26531.518861681005,0.5205632447854721,0.05117172442649254,0.1854134887505889,4.0,0.25,1.0,0.5,0.0,15.886363636363637,15.195652173913043,0.0,PR,Sul,0,0,1
4128559,8454.0,39549.68062455642,0.5332287008235083,0.03831062618775232,0.138414313223091,4.0,0.25,1.0,0.75,0.25,19.185185185185187,11.511111111111111,0.0,PR,Sul,0,0,1
4128609,7174.0,58202.53693894619,0.4501952084951412,0.10990640902089237,0.10595028742275432,4.0,0.25,1.0,0.25,0.75,21.625,10.8125,0.09441233140655106,PR,Sul,0,0,1
4128625,2685.0,38833.51955307263,0.4467174985842569,0.06595340182833104,0.264015856322304,1.0,0.0,0.0,1.0,0.0,18.5,12.95,0.0,PR,Sul,0,0,1
4128633,5552.0,16100.50432276657,0.46108650249018845,0.03154621192995341,0.3489591700901976,8.0,0.875,0.625,0.0,0.0,14.23076923076923,13.214285714285714,0.002702702702702703,PR,Sul,0,0,1
4128658,4022.0,43450.77076081552,0.5262083910190815,0.10228134593390718,0.14811894299644857,1.0,0.0,1.0,1.0,1.0,19.642857142857142,16.176470588235293,0.0,PR,Sul,0,0,1
4128708,6859.0,64736.40472372066,0.438290880014867,0.07440110133289646,0.09121452272721715,3.0,0.0,1.0,1.0,0.0,17.818181818181817,16.8,0.01020408163265306,PR,Sul,0,0,1
4128807,5630.0,22785.25754884547,0.3347469081570589,0.14959958099614787,0.24597891464486044,3.0,0.6666666666666666,1.0,0.3333333333333333,0.0,19.2,12.0,0.0,PR,Sul,0,0,1
4200051,2548.0,24357.927786499215,0.4120395111103449,0.04354496716026823,0.33327587098553674,1.0,0.0,1.0,1.0,0.0,17.8,10.470588235294118,0.17415730337078653,SC,Sul,0,0,1
4200101,17960.0,43748.27394209354,0.393179384812047,0.13867308623948824,0.12362924795735725,5.0,0.6190476190476191,0.9285714285714286,0.6666666666666666,0.45238095238095233,19.598214285714285,11.104453441295547,0.006193228736581338,SC,Sul,0,0,2
4200200,11013.0,27377.55380005448,0.1632324788047155,0.2823183107106358,0.1958458681790048,4.0,0.25,1.0,1.0,0.5,24.0,24.0,0.13411458333333334,SC,Sul,0,0,1
4200309,5509.0,33925.75785078962,0.32913762859716494,0.22663916939268952,0.16845043379320154,2.0,1.0,1.0,0.5,0.0,17.833333333333332,13.956521739130435,0.0,SC,Sul,0,0,1
4200408,7152.0,76292.08612975391,0.31916995472092136,0.3472185292936037,0.08421947446768456,5.0,0.8,1.0,0.2,0.2,19.40909090909091,14.233333333333333,0.1451990632318501,SC,Sul,0,0,1
4200507,6515.0,18191.40445126631,0.3934087124200193,0.06552721535629766,0.2851608379349636,2.5,0.5833333333333333,1.0,0.25,0.5,15.392307692307693,9.33732057416268,0.19985486211901307,SC,Sul,0,0,2
4200556,2354.0,53778.67459643161,0.3120553412741738,0.19421350778124805,0.1446086108302086,2.0,0.5,1.0,1.0,1.0,12.266666666666667,9.68421052631579,0.33695652173913043,SC,Sul,0,0,1
4200606,6559.0,27381.00320170758,0.27293968719683886,0.13249769301753306,0.19201784066441094,2.0,0.5,0.5,0.5,0.0,19.842105263157894,23.5625,0.005305039787798408,SC,Sul,0,0,1
4200705,10086.0,31555.819948443386,0.4565885723806941,0.0584841366557437,0.1544581045010667,3.0,0.4,1.0,0.6,0.0,16.9,13.717948717948717,0.013878278584160937,SC,Sul,0,0,2
4200754,1926.0,37630.32191069574,0.4022685959427034,0.1381662182796481,0.2330982331127754,1.0,0.0,1.0,1.0,1.0,12.125,9.7,0.0,SC,Sul,0,0,1
4200804,5557.0,31574.950512866653,0.3435940556053156,0.17393264725416005,0.19359496956513791,2.5,0.6666666666666666,1.0,0.8333333333333333,0.6666666666666666,15.933333333333334,9.760683760683762,0.10590277777777778,SC,Sul,0,0,2
4200903,4743.0,31521.821631878556,0.41059109222363266,0.12532424526739885,0.18525442905237596,2.0,0.5,1.0,1.0,0.6666666666666666,18.866666666666667,11.6675,0.003355704697986577,SC,Sul,0,0,2
4201000,6957.0,25994.681615638925,0.3022343223020079,0.13375167617709718,0.23425844764232268,3.0,0.9,0.9,0.1,0.6,12.727777777777778,11.518018018018019,0.006382978723404255,SC,Sul,0,0,2
4201109,3228.0,20789.343246592318,0.31611098158078804,0.08440195849848449,0.2919717105774462,1.0,0.0,1.0,0.0,1.0,17.727272727272727,15.0,0.0,SC,Sul,0,0,1
4201208,8613.0,91499.9419482178,0.3623590606292479,0.2747290925867579,0.07079882522392762,2.0,0.0,1.0,0.8333333333333333,1.0,25.65674603174603,17.575,0.020888824463812232,SC,Sul,0,0,2
4201257,10848.0,34227.96828908555,0.05047508825846357,0.35932297897033416,0.1902557469308099,7.0,0.8571428571428571,1.0,0.7142857142857143,0.4285714285714286,18.742857142857144,17.263157894736842,0.009146341463414634,SC,Sul,0,0,1
4201273,4267.0,53517.45957347082,0.33513345896047514,0.3099396512654152,0.12745271092240537,2.0,0.0,1.0,1.0,1.0,19.866666666666667,14.9,0.2986577181208054,SC,Sul,0,0,1
4201307,39524.0,139345.53688897885,0.021311062491048367,0.5487556062609031,0.06056792184352352,8.0,0.375,0.875,0.375,0.12500000000000003,23.92168674698795,23.497041420118343,0.0,SC,Sul,0,0,1
