id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1503457,PA,Norte,1,2,1,3,1,5,2,0,5
1503507,PA,Norte,1,2,3,0,2,6,5,0,3
1503606,PA,Norte,1,0,1,3,1,5,2,0,5
1503705,PA,Norte,1,2,1,3,1,5,2,0,5
1503754,PA,Norte,1,0,1,3,1,5,2,0,5
1503804,PA,Norte,1,2,1,3,1,5,2,0,5
1503903,PA,Norte,1,0,1,1,1,3,4,1,4
1504000,PA,Norte,1,2,1,3,1,5,1,3,6
1504059,PA,Norte,1,2,1,3,1,5,2,0,3
1504109,PA,Norte,1,2,1,3,1,5,2,0,3
1504208,PA,Norte,1,0,0,1,0,3,4,1,4
1504307,PA,Norte,1,2,1,3,1,5,2,0,3
1504406,PA,Norte,1,2,1,3,1,5,2,0,3
1504422,PA,Norte,1,0,1,3,1,3,4,1,4
1504455,PA,Norte,1,2,1,3,1,5,2,3,6
1504505,PA,Norte,1,2,1,3,1,5,2,0,5
1504604,PA,Norte,1,2,1,3,1,5,2,0,5
1504703,PA,Norte,1,2,1,3,1,5,2,0,5
1504752,PA,Norte,1,2,1,3,1,5,2,0,5
1504802,PA,Norte,1,2,1,3,1,5,2,0,5
1504901,PA,Norte,1,2,1,3,5,0,7,8,3
1504950,PA,Norte,1,2,1,3,1,5,2,0,5
1504976,PA,Norte,1,2,1,3,1,5,2,0,5
1505007,PA,Norte,1,2,1,3,1,5,2,0,5
1505031,PA,Norte,1,0,1,3,1,5,2,0,5
1505064,PA,Norte,1,2,1,3,1,5,2,0,5
1505106,PA,Norte,1,2,1,3,1,5,2,0,5
1505205,PA,Norte,1,2,1,3,1,5,2,0,5
1505304,PA,Norte,1,0,1,3,1,5,4,1,4
1505403,PA,Norte,1,2,1,3,1,5,2,0,5
1505437,PA,Norte,1,2,1,3,1,5,2,0,5
1505486,PA,Norte,1,2,1,3,1,5,2,0,5
1505494,PA,Norte,1,2,1,3,1,5,2,0,5
1505502,PA,Norte,1,0,1,3,1,5,4,1,4
1505536,PA,Norte,0,0,0,1,0,2,6,6,1
1505551,PA,Norte,1,2,1,3,1,5,2,0,5
1505601,PA,Norte,1,2,3,0,2,6,5,7,3
1505635,PA,Norte,1,2,1,3,1,5,1,3,6
1505650,PA,Norte,1,2,1,3,1,5,2,0,5
1505700,PA,Norte,1,2,1,3,1,5,2,0,3
1505809,PA,Norte,1,2,1,3,1,5,2,0,5
1505908,PA,Norte,1,2,1,3,1,5,2,0,5
1506005,PA,Norte,1,2,1,3,1,5,2,0,5
1506104,PA,Norte,0,0,0,1,0,2,6,6,1
1506112,PA,Norte,1,2,3,0,2,6,5,7,3
1506138,PA,Norte,1,0,1,3,1,3,4,1,4
1506161,PA,Norte,1,0,1,3,1,5,1,3,6
