id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,cluster_id,cluster_codigo,pca_1,pca_2,municipio,n_alunos,probabilidade_media_risco,taxa_risco_real,taxa_alfabetizacao_real,status_dominio_modelo
3133758,16199.0,39033.95271313044,0.036030556201585,0.5035458074673059,0.1476644542640929,3.0,0.0,1.0,1.0,0.3333333333333333,23.285714285714285,19.75757575757576,0.0,MG,Sudeste,0,0,1,0,cluster_0,2.142261282557416,2.367449397166361,Itaú de Minas,124,0.3450640917219688,0.1048387096774193,0.8951612903225806,DOMINIO_FORTE
3133808,93847.0,39495.8389719437,0.0111434133200248,0.4043285242862817,0.1385076209730809,8.5,0.2333333333333333,0.8,0.7,0.6,20.8879684418146,17.901977894124492,0.094710947109471,MG,Sudeste,0,0,2,0,cluster_0,1.1527117996402465,2.824951889598551,Itaúna,666,0.3875955002001161,0.1321321321321321,0.8678678678678678,DOMINIO_FORTE
3133907,5369.0,11411.249767181973,0.1278282862806753,0.0840624786383211,0.455533529291134,4.0,0.4166666666666667,0.9166666666666669,0.75,0.5,18.366666666666667,16.416666666666664,0.0,MG,Sudeste,0,0,2,1,cluster_1,0.1272535552611025,-0.968210120530428,Itaverava,49,0.3345389399994301,0.1428571428571428,0.8571428571428571,DOMINIO_FORTE
3134004,15022.0,8393.422979629877,0.0969415161485261,0.0816407036862955,0.5201269052575035,7.5,0.4166666666666667,0.7083333333333334,0.75,0.5,23.27619047619048,16.551612903225806,0.0,MG,Sudeste,0,0,2,2,cluster_2,-0.8916196684403079,-0.1282329952143524,Itinga,108,0.3981913518417208,0.4166666666666667,0.5833333333333334,DOMINIO_FORTE
3134103,6063.0,14726.37308263236,0.2437813332054019,0.0563338050804768,0.3708172419583103,2.5,0.375,0.75,0.75,0.625,18.28333333333333,12.955357142857142,0.0,MG,Sudeste,0,0,2,1,cluster_1,0.7805173882371933,-1.2660464585863105,Itueta,63,0.3509136371001473,0.2222222222222222,0.7777777777777778,DOMINIO_FORTE
3134202,105255.0,34068.8613367536,0.0881696139696767,0.2937499629683567,0.1421837349538484,12.0,0.1538461538461538,0.7482517482517482,0.9545454545454546,0.8846153846153846,20.887239902080783,13.693652042756902,0.1231473590814562,MG,Sudeste,0,0,2,0,cluster_0,1.5808350854662403,2.3646904719441912,Ituiutaba,894,0.3671938142895826,0.3612975391498881,0.6387024608501118,DOMINIO_FORTE
3134301,6000.0,13172.166666666666,0.2683316317181078,0.0430377758580067,0.3910050001308934,1.5,0.25,1.0,1.0,0.5,17.895833333333336,12.642857142857142,0.076158940397351,MG,Sudeste,0,0,2,1,cluster_1,1.292872229243277,-1.53729383489037,Itumirim,52,0.3190944929471524,0.173076923076923,0.8269230769230769,DOMINIO_FORTE
3134400,39690.0,57907.02947845805,0.0611435979439356,0.5423612318207395,0.093216777417588,8.0,0.0,1.0,1.0,0.25,19.433962264150946,14.609929078014185,0.2111650485436893,MG,Sudeste,0,0,1,0,cluster_0,2.373557431898053,2.6670091562164187,Iturama,357,0.3508992986999426,0.299719887955182,0.7002801120448179,DOMINIO_FORTE
3134509,3768.0,38740.71125265393,0.2809757972118046,0.3291038350139836,0.1612997345592473,1.0,0.0,1.0,1.0,1.0,20.545454545454547,15.066666666666666,0.0,MG,Sudeste,0,0,1,1,cluster_1,3.384820590383658,0.2427558355456057,Itutinga,32,0.323240564953568,0.21875,0.78125,DOMINIO_FORTE
3134608,20418.0,12950.435889901068,0.0641437879490852,0.0653500897666068,0.3534908115304702,9.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,19.86206896551724,18.580645161290324,0.0,MG,Sudeste,0,0,1,2,cluster_2,-0.9789384743866724,0.2256632287426496,Jaboticatubas,197,0.4245763158464343,0.2436548223350254,0.7563451776649747,DOMINIO_FORTE
3134707,12323.0,10186.724012010063,0.1073094355170993,0.0458261227853316,0.4970745776679027,6.0,0.5,0.8333333333333334,0.5,0.1666666666666666,21.12903225806452,19.264705882352946,0.0213740458015267,MG,Sudeste,0,0,1,2,cluster_2,-1.243730062109156,-0.4126320385667522,Jacinto,109,0.3796508291562146,0.4403669724770642,0.5596330275229358,DOMINIO_FORTE
3134806,7691.0,17133.532700559095,0.3055769827195445,0.0475550501395637,0.2943005510978218,2.0,0.0,1.0,0.5,0.5,18.58333333333333,16.51851851851852,0.0,MG,Sudeste,0,0,1,1,cluster_1,1.1979130523671715,-0.8522070433463135,Jacuí,84,0.332427606191586,0.1547619047619047,0.8452380952380952,DOMINIO_FORTE
3134905,26264.0,39290.13097776424,0.042088789178613,0.3359812996199721,0.1548542913045114,6.0,0.5,0.6666666666666667,0.6666666666666666,1.0,19.653846153846157,12.313253012048191,0.4569471624266145,MG,Sudeste,0,0,1,0,cluster_0,1.340217727188291,1.3482050475471266,Jacutinga,244,0.3471790745126417,0.2049180327868852,0.7950819672131147,DOMINIO_FORTE
3135001,3142.0,34406.11075747931,0.0239188828969222,0.4077897844942484,0.2032233591010683,2.0,0.5,1.0,0.5,0.0,16.6,10.375,0.0,MG,Sudeste,0,0,1,1,cluster_1,1.4647826420245746,-0.1385933468998233,Jaguaraçu,25,0.3044950961960005,0.16,0.84,DOMINIO_FORTE
