id_municipio,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,pca_1,pca_2
2603009,PE,Nordeste,0,0,1,-2.6699671692576494,0.9683938689091023
2603108,PE,Nordeste,0,0,1,-0.998805769653023,0.493756473438623
2603207,PE,Nordeste,0,0,1,-1.219696817871577,1.2049238151121417
2603306,PE,Nordeste,0,0,1,-2.554924614505776,0.2521685872707855
2603405,PE,Nordeste,0,0,1,-3.184981156529177,-1.30610999955115
2603454,PE,Nordeste,0,0,1,-1.4302018437009314,2.410075473423757
2603504,PE,Nordeste,0,0,1,-2.0253231061625336,-0.2769463979047878
2603603,PE,Nordeste,0,0,1,-0.30396655364014735,1.3310211615486789
2603702,PE,Nordeste,0,0,1,-3.582416401134617,0.495571556338313
2603801,PE,Nordeste,0,0,1,-2.326705833748088,0.11315457953080342
2603900,PE,Nordeste,0,0,1,-1.6846568650260165,0.29126060887354194
2603926,PE,Nordeste,0,0,1,-3.2158562566523314,-1.4640773692381768
2604007,PE,Nordeste,0,0,1,-0.31410564333611674,2.2842209658068997
2604106,PE,Nordeste,0,0,1,-2.5234138659280623,4.064094145784362
2604155,PE,Nordeste,0,0,1,-3.510182404196084,-0.3823306405007538
2604205,PE,Nordeste,0,0,1,-3.197977147729758,0.25889827006550914
2604304,PE,Nordeste,0,0,1,-2.3635690344509688,0.1787337340667838
2604403,PE,Nordeste,0,0,1,-1.1777064837364009,-0.6011969085926497
2604502,PE,Nordeste,0,0,1,-1.847907893653339,0.22240944896394502
2604601,PE,Nordeste,0,0,1,-2.1793235085200267,0.9726900813318986
2604700,PE,Nordeste,0,0,1,-2.76763565462348,-0.5069930937553319
2604809,PE,Nordeste,0,0,1,-2.6771072294121274,-0.4774516169925128
2604908,PE,Nordeste,0,0,1,-2.4290772311225766,-0.3491293743470615
2605004,PE,Nordeste,0,0,1,-2.033213918389184,1.5828418190198306
2605103,PE,Nordeste,0,0,1,-1.2817154502498957,0.30870203639787197
2605152,PE,Nordeste,0,0,1,-1.8736329389530093,0.45357038988522697
2605202,PE,Nordeste,0,0,1,-1.5794409292779068,2.0230206756536675
2605301,PE,Nordeste,0,0,1,-1.4763114114272393,0.4131534652175914
2605400,PE,Nordeste,0,0,1,-1.251295328668668,0.7255942354380359
2605459,PE,Nordeste,0,0,1,1.7684269778653894,1.7020013354724306
2605509,PE,Nordeste,0,0,1,-2.1500874205755087,0.02737241933628648
2605608,PE,Nordeste,0,0,1,-3.4969018684010282,0.98050221825399
2605707,PE,Nordeste,0,0,1,-3.1296085105580778,0.8053653662134121
2605806,PE,Nordeste,0,0,1,-2.5748505895962515,-0.1303635356413676
2605905,PE,Nordeste,0,0,1,-3.585509893577873,0.01322475553726643
2606002,PE,Nordeste,0,0,1,-1.3012708485177749,2.7043117795604776
2606101,PE,Nordeste,0,0,1,-2.003933493428469,1.78279001434104
2606200,PE,Nordeste,0,0,1,0.08318895754781609,4.305151033440679
2606309,PE,Nordeste,0,0,1,-0.926564530769419,-1.0405469125676419
2606408,PE,Nordeste,0,0,1,-3.0985789055043083,2.4509875148969855
2606507,PE,Nordeste,0,0,1,-2.6254216443520972,-0.9531705528102294
2606606,PE,Nordeste,0,0,2,-1.8752490778059427,-0.230756301092461
2606705,PE,Nordeste,0,0,1,-2.5806802112070484,-1.6686417801482138
2606804,PE,Nordeste,0,0,1,-1.44532544981792,3.594852120915247
2606903,PE,Nordeste,0,0,1,-2.115976759104514,-0.5731632793528297
2607000,PE,Nordeste,0,0,1,-2.2550382445805797,-0.10556008103645147
2607109,PE,Nordeste,0,0,1,0.13084677912390863,-2.6954346776087714
2607208,PE,Nordeste,0,0,1,0.27810899946151846,4.496132406863416
2607307,PE,Nordeste,0,0,1,-2.6587243999974204,1.542604898380765
2607406,PE,Nordeste,0,0,1,-1.2734314068121781,-0.7674413823917466
2607505,PE,Nordeste,0,0,1,-4.465494972501807,1.4926716366242576
2607604,PE,Nordeste,0,0,1,-2.503498306479678,1.3295139632421533
2607653,PE,Nordeste,0,0,1,-1.9832332063383555,0.6941782695312837
2607703,PE,Nordeste,0,0,1,-2.5036668281361187,0.10111622793409678
2607752,PE,Nordeste,0,0,1,0.7694248766528561,3.2329942209812605
2607802,PE,Nordeste,0,0,1,-2.565746259661277,0.33384979053730124
2607901,PE,Nordeste,0,0,1,-1.6085104525241005,3.8745891888140043
2607950,PE,Nordeste,0,0,1,-3.3375564183107334,-0.2861773323615022
2608008,PE,Nordeste,0,0,1,-3.6166729646271,-0.18830402993127274
2608057,PE,Nordeste,0,0,1,-2.6903048713431796,-0.3829915995531922
2608107,PE,Nordeste,0,0,1,-2.6441409618922425,0.13245435467514421
2608206,PE,Nordeste,0,0,1,-1.6419836964500356,0.1607005589045669
2608255,PE,Nordeste,0,0,1,-2.0056437034062533,-0.6556236143762569
2608305,PE,Nordeste,0,0,1,-2.0855899796956514,0.1312265100602675
2608404,PE,Nordeste,0,0,1,-2.558121265072006,-0.3763651944920759
2608453,PE,Nordeste,0,0,1,-3.2468784748090087,1.3219700269416794
2608503,PE,Nordeste,0,0,1,-0.32874172647849187,1.4041391385537942
2608602,PE,Nordeste,0,0,1,-2.2709618229821693,-0.20958346599649852
2608701,PE,Nordeste,0,0,1,-2.6773610289299685,-0.578808430308137
2608750,PE,Nordeste,0,0,1,-2.1857144513856133,1.0939958474609022
2608800,PE,Nordeste,0,0,1,-2.9802030853818513,1.0066623665126984
2608909,PE,Nordeste,0,0,1,-1.2931228826227121,1.3170344826257234
2609006,PE,Nordeste,0,0,1,-1.8195067363808775,0.6616288116692127
2609105,PE,Nordeste,0,0,1,-1.734701994990872,0.3990290353337522
2609154,PE,Nordeste,0,0,1,-4.4686955303959826,-0.02293200703276507
2609204,PE,Nordeste,0,0,1,-3.4021398183902316,-1.4201579740660133
2609303,PE,Nordeste,0,0,1,-3.236416829309304,0.1591508524416732
2609402,PE,Nordeste,0,0,1,-1.5303353290814654,1.474484315600496
2609501,PE,Nordeste,0,0,1,-0.94264159581427,2.0258998872362097
2609600,PE,Nordeste,0,0,1,-1.8860567249149494,3.012127944070555
2609709,PE,Nordeste,0,0,1,-0.9959591881292236,-0.37900528329631766
2609808,PE,Nordeste,0,0,1,-3.2615780375683268,0.9101422347444444
2609907,PE,Nordeste,0,0,1,-3.276165910179307,1.400893954425534
2610004,PE,Nordeste,0,0,1,-2.848621197595046,1.6547484570173592
2610103,PE,Nordeste,0,0,1,-1.8689319905387771,-1.2631620521470839
2610202,PE,Nordeste,0,0,1,-3.916352500889919,-0.10707033801179455
2610301,PE,Nordeste,0,0,1,-1.4128748187253317,1.7426195604226138
2610400,PE,Nordeste,0,0,1,-3.1091953306799422,0.3977900739985857
2610509,PE,Nordeste,0,0,1,-3.20527626536297,0.7926288928071251
2610608,PE,Nordeste,0,0,1,-1.3708892337568617,0.5057384408694752
2610707,PE,Nordeste,0,0,2,-1.6316661030689947,3.0619590597915867
2610806,PE,Nordeste,0,0,1,-2.2927053339139825,0.9789057861277797
2610905,PE,Nordeste,0,0,1,-1.7756182183316322,0.8955493830158824
2611002,PE,Nordeste,0,0,1,-0.7864638009573655,3.9413076163990453
2611101,PE,Nordeste,0,0,1,-2.1515109582265626,3.572461075119819
2611200,PE,Nordeste,0,0,1,-2.0881179587938274,-1.0221953532255876
2611309,PE,Nordeste,0,0,1,-2.3018260593186537,1.6174789028783598
2611408,PE,Nordeste,0,0,1,-1.0303268514659214,-0.2712070058860871
2611507,PE,Nordeste,0,0,1,-2.8031758462926044,-0.25256037617335836
2611533,PE,Nordeste,0,0,1,-2.505282620382012,-0.2724323234994661
2611606,PE,Nordeste,1,0,2,-1.4391116019892933,4.948209825522038
2611705,PE,Nordeste,0,0,1,-2.7278153197412864,1.1240507679151677
2611804,PE,Nordeste,0,0,1,-3.1239858539134753,0.4112465727124059
2611903,PE,Nordeste,0,0,1,-2.0146314060809267,1.704081707871536
2612000,PE,Nordeste,0,0,1,-2.3160297779748245,-0.08657564207611436
2612109,PE,Nordeste,0,0,1,-2.6217164319637494,-0.594308974455873
2612208,PE,Nordeste,0,0,1,-1.3022805304795568,1.9969308202076586
2612307,PE,Nordeste,0,0,1,-2.7272573055527953,-0.5705085622992545
2612406,PE,Nordeste,0,0,1,-2.3741651104491157,0.5904563606574665
2612455,PE,Nordeste,0,0,1,-1.5635202139259934,-0.7469305527989792
2612471,PE,Nordeste,0,0,1,-2.0523824580571786,0.161171624108679
2612505,PE,Nordeste,0,0,1,-1.493410817308686,2.911177340736804
2612554,PE,Nordeste,0,0,1,-2.9103130547864553,-0.3200013400351795
2612604,PE,Nordeste,0,0,1,-2.815714883549977,1.243694417828342
2612703,PE,Nordeste,0,0,1,-3.746878647405672,-0.21862927624149664
2612802,PE,Nordeste,0,0,1,-2.107370596164722,-0.37585094240448075
2612901,PE,Nordeste,0,0,1,-3.644084485853106,-0.530411303138082
2613008,PE,Nordeste,0,0,1,-0.5450300576168301,0.6604426841717859
2613107,PE,Nordeste,0,0,1,-2.690045233810534,1.3460267595412498
2613206,PE,Nordeste,0,0,1,-2.576419304855718,0.3072681208571931
2613305,PE,Nordeste,0,0,1,-2.8220404879843266,0.2854843986917324
2613404,PE,Nordeste,0,0,1,-2.3396260395871775,0.5837179024165602
2613503,PE,Nordeste,0,0,1,-2.6503097186071,0.5881795957470317
2613602,PE,Nordeste,0,0,1,-1.4583971290220255,0.6767043839125225
2613701,PE,Nordeste,0,0,1,-2.382767468319695,1.859785228932491
2613800,PE,Nordeste,0,0,1,-0.5435208180051464,0.0969659691390976
2613909,PE,Nordeste,0,0,1,-2.437980430112402,2.474867581057227
2614006,PE,Nordeste,0,0,1,-2.393261620533566,-1.3261963374205161
2614105,PE,Nordeste,0,0,1,-2.082450948103257,1.5841434477370804
2614204,PE,Nordeste,0,0,1,-2.608668975082446,2.001470708303257
2614303,PE,Nordeste,0,0,1,-2.9133121208633868,-0.02811620060441584
2614402,PE,Nordeste,0,0,1,-1.3932697999262862,-1.572102325180909
2614501,PE,Nordeste,0,0,1,-2.145789753031696,1.824487950924358
2614600,PE,Nordeste,0,0,1,-2.153259103220715,0.23838005451188238
2614709,PE,Nordeste,0,0,1,-1.2080752550511988,-0.7028923833597326
2614808,PE,Nordeste,0,0,1,-2.788802252237957,0.18950099161724598
2614857,PE,Nordeste,0,0,1,-2.769445310357715,1.133271579008778
2615003,PE,Nordeste,0,0,1,-2.250262441676143,0.7769417814344065
2615102,PE,Nordeste,0,0,1,-3.462990402216441,-0.9371092826237429
2615201,PE,Nordeste,0,0,1,-2.0282561417824536,-0.26523812249689904
2615300,PE,Nordeste,0,0,1,-1.934498761891314,1.307072093057558
2615409,PE,Nordeste,0,0,1,-1.26131454026049,2.440455743940931
2615508,PE,Nordeste,0,0,1,-2.022046164948078,-0.379825666059061
2615607,PE,Nordeste,0,0,1,-2.142332451933247,1.3691446909691167
2615706,PE,Nordeste,0,0,1,-1.7111774672383189,0.17774651017656193
2615805,PE,Nordeste,0,0,1,-4.215711256442953,0.5668979173286863
2615904,PE,Nordeste,0,0,1,-0.7199498447413777,-0.3591289960311359
2616001,PE,Nordeste,0,0,1,-1.7516498757748402,1.4332917892931132
2616100,PE,Nordeste,0,0,1,-3.737626775916267,1.3324146609021228
2616183,PE,Nordeste,0,0,1,-2.283721725907766,0.0690689574063559
2616209,PE,Nordeste,0,0,1,-1.508581906652687,0.24789033812081968
2616308,PE,Nordeste,0,0,1,-0.022061034383592866,0.5358560463341355
2616407,PE,Nordeste,0,0,1,-0.9646096763111386,3.396020100051677
2616506,PE,Nordeste,0,0,1,-2.6929252977342952,-0.9759007323959237
2700102,AL,Nordeste,0,0,1,-3.5485337995350354,0.3977860305322445
2700201,AL,Nordeste,0,0,1,-1.7103848869574558,-0.33459523475723557
2700300,AL,Nordeste,0,0,1,-1.0921431125065035,3.028328644705816
2700409,AL,Nordeste,0,0,1,-1.4295327241593636,1.5682939092454613
2700508,AL,Nordeste,0,0,1,-2.203905565920829,-0.35460802792401397
2700607,AL,Nordeste,0,0,1,0.42138443066189524,0.08791373511534967
2700706,AL,Nordeste,0,0,1,-1.774785951547847,0.20423112482920955
2700805,AL,Nordeste,0,0,1,-0.21015337551106467,-1.9695243784892074
2700904,AL,Nordeste,0,0,1,-1.3257427752701394,-1.3668384590374516
2701001,AL,Nordeste,0,0,1,0.5247446218634324,0.43173202840709657
2701100,AL,Nordeste,0,0,1,-0.9080899312291545,0.9605271230281239
2701209,AL,Nordeste,0,0,1,-1.1620954363178677,-1.026645653743444
2701308,AL,Nordeste,0,0,1,-3.124129823826283,0.3013147649864891
2701357,AL,Nordeste,0,0,1,-1.1397976996998487,-1.0356608409548225
2701407,AL,Nordeste,0,0,1,-0.9244450608582715,0.853249623127029
2701506,AL,Nordeste,0,0,1,-3.312100600243331,-1.230073122419022
2701605,AL,Nordeste,0,0,1,-3.2113534269056583,-0.44210929422155965
2701704,AL,Nordeste,0,0,1,-1.6913220021105497,-0.4846615404655064
2701803,AL,Nordeste,0,0,1,-2.9282369783952027,-0.10615531767922312
2701902,AL,Nordeste,0,0,1,-0.681575020243425,-0.9710712958675137
2702009,AL,Nordeste,0,0,1,-2.4551211628694083,0.059931679294075814
2702108,AL,Nordeste,0,0,1,-1.7388955369461427,0.8492646777285661
2702207,AL,Nordeste,0,0,1,-0.5434072205452107,-1.2947348322569623
2702306,AL,Nordeste,0,0,1,-0.6041616430091882,1.786628644862969
2702355,AL,Nordeste,0,0,1,-1.6906272178941713,0.6547596521108692
2702405,AL,Nordeste,0,0,1,-2.558729672778365,1.4839529574530852
2702504,AL,Nordeste,0,0,1,-2.945172923223853,-0.6556860245368229
2702553,AL,Nordeste,0,0,1,-2.9215949753702084,-0.3209790643483751
2702603,AL,Nordeste,0,0,1,-1.6293646153417818,-0.7750320674629472
2702702,AL,Nordeste,0,0,1,0.6811577806183206,-1.424995786624931
2702801,AL,Nordeste,0,0,1,-0.08074479707003299,-0.36999207252941796
2702900,AL,Nordeste,0,0,1,-2.600076139125687,0.00952267325643444
2703007,AL,Nordeste,0,0,1,-2.3920979833899723,-0.3532004258356268
2703106,AL,Nordeste,0,0,1,-2.093536271282106,-0.11483089723128018
2703205,AL,Nordeste,0,0,1,-1.687404997932644,0.22603480724597658
2703304,AL,Nordeste,0,0,2,-2.8492044781147396,-0.4754385867408147
2703403,AL,Nordeste,0,0,1,-2.2070936958050615,-2.3150839799071536
2703502,AL,Nordeste,0,0,1,-0.11775964619108542,-1.5714442027404805
2703601,AL,Nordeste,0,0,1,-1.5170185284702504,-0.3270147681598403
2703700,AL,Nordeste,0,0,1,-1.1479128533893772,-2.283520407276309
2703759,AL,Nordeste,0,0,1,-0.4710923298912707,-0.6856227474365472
2703809,AL,Nordeste,0,0,2,-1.538868733604379,-0.6670632664983309
2703908,AL,Nordeste,0,0,1,-2.685370889633916,-1.824991729005715
2704005,AL,Nordeste,0,0,1,-0.17273230320291916,-0.40370575611933884
2704104,AL,Nordeste,0,0,1,-3.366501958280034,0.6872698984201705
2704203,AL,Nordeste,0,0,1,-1.475105230741685,-0.03784185163542651
2704302,AL,Nordeste,1,0,2,-0.8194333164479117,3.7815012858739503
2704401,AL,Nordeste,0,0,1,-2.0579100986937964,-1.5610062448274509
2704500,AL,Nordeste,0,0,1,-2.0799771241775424,0.33109218111276084
2704609,AL,Nordeste,0,0,1,-2.2710829271545956,-1.1631361775109774
2704708,AL,Nordeste,0,0,1,0.11856973872751862,3.7547781217648897
2704807,AL,Nordeste,0,0,1,-2.2287631491992745,-0.27337265582549997
2704906,AL,Nordeste,0,0,1,-0.5526870915121488,-1.2941682644545929
2705002,AL,Nordeste,0,0,1,-2.1682871247535322,0.32447970802498016
2705101,AL,Nordeste,0,0,1,-1.4754631228713755,0.8941051395456989
2705200,AL,Nordeste,0,0,1,-1.477654421322275,-0.09427002261088609
2705309,AL,Nordeste,0,0,1,-1.0165626511022556,-2.1667832305678782
2705408,AL,Nordeste,0,0,1,-2.310962591985432,-1.424798315829944
2705507,AL,Nordeste,0,0,1,-1.7610745071723555,0.7293656048002197
2705606,AL,Nordeste,0,0,1,-1.8321871326768262,0.02807520968014406
2705705,AL,Nordeste,0,0,1,-1.3378506934090537,0.636738497361261
2705804,AL,Nordeste,0,0,1,-1.8857168524077996,-1.0864314122823604
2705903,AL,Nordeste,0,0,1,-3.124952399030679,-1.3874309796806117
2706000,AL,Nordeste,0,0,1,-2.405226682983781,-1.0439782119413223
2706109,AL,Nordeste,0,0,1,-2.9172578921953014,-0.002012541585200854
2706208,AL,Nordeste,0,0,1,-2.6804646407353467,-0.9972445913863646
2706307,AL,Nordeste,0,0,2,-1.1350734887708775,0.4198321830443277
2706406,AL,Nordeste,0,0,1,-2.4589104668246073,-0.5288423763713356
2706422,AL,Nordeste,0,0,2,-1.6657716854613704,-0.3726198321342402
2706448,AL,Nordeste,0,0,1,-0.5570558107146147,1.1479444424837772
2706505,AL,Nordeste,0,0,1,-1.5044915597918254,-0.47121448759370416
2706604,AL,Nordeste,0,0,1,-2.107871054934881,-0.6424673093963675
2706703,AL,Nordeste,0,0,2,-1.2358491104880065,0.946401778903988
2706802,AL,Nordeste,0,0,1,-0.5779436042216615,-0.4394161648645355
2706901,AL,Nordeste,0,0,1,-1.3058151404159049,1.3951368425453796
2707008,AL,Nordeste,0,0,1,-0.13811982498254316,-1.9833567838362995
2707107,AL,Nordeste,0,0,1,-2.0815211765551127,0.42965221716490654
2707206,AL,Nordeste,0,0,1,-2.5463056838257474,-1.0159050138701802
2707305,AL,Nordeste,0,0,1,-1.797854348895154,0.43053831796619685
2707404,AL,Nordeste,0,0,1,-0.9801615332107528,-0.9237944871178044
2707503,AL,Nordeste,0,0,2,-2.3967280869158274,-0.4784336148319129
2707602,AL,Nordeste,0,0,1,-1.2486060408094732,-0.6792319085855892
2707701,AL,Nordeste,0,0,1,-1.0239404332490756,2.2691788316084804
2707800,AL,Nordeste,0,0,1,0.8176954395000946,-0.3246271201870534
2707909,AL,Nordeste,0,0,1,0.26208207627665026,0.8948260372111313
