candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,train_evaluation_rows,runtime_seconds,train_sample_pr_auc_risk,validation_pr_auc_risk,estimated_pr_auc_gap_train_validation,train_sample_roc_auc_literate,validation_roc_auc_literate,estimated_roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,criterion
5,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,646.718028700001,0.5973714643685243,0.5435303939738702,0.053841070394654134,0.6926599829536981,0.6351349329285748,0.057525050025123314,0.5854099986026178,0.5927791946255544,0.5077432593414956,0.6405388180308907,0.5664623242156241,0.545019571220218,0.42285119210013244,0.5334440148787938,150,,400,20,0.5,balanced,entropy
5,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,979.554496100005,0.5945397531316154,0.5492527883904074,0.04528696474120808,0.6893987302742912,0.6485787425349345,0.04081998773935669,0.6079045255221884,0.6008054943587521,0.5216962673088501,0.5607976378271246,0.5405407512817014,0.6408133508903796,0.41127953633526526,0.4421051230694499,150,,400,20,0.5,balanced,entropy
5,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,462.21077089999744,0.5998092378879818,0.553655468514888,0.04615376937309379,0.6921825766775279,0.6494867300518528,0.04269584662567516,0.5912656955969151,0.5965344404784994,0.5089862805369214,0.6286662580886508,0.5625311587493769,0.5644026228683477,0.41801358787870724,0.5163027927682142,150,,400,20,0.5,balanced,entropy
5,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,474.9190305999946,0.5974387385146543,0.5334265230892675,0.06401221542538682,0.6878859288274094,0.6440809502517657,0.043804978575643694,0.584776468004831,0.5899152616567709,0.4954536899423031,0.6186435870631043,0.5502378549805391,0.5611869362504375,0.41056224859512713,0.5126446877672086,150,,400,20,0.5,balanced,entropy
6,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,139.5291986000011,0.5696097038067404,0.5260286567579532,0.04358104704878718,0.6618733992039991,0.6255667801263108,0.036306619077688285,0.5592423526593515,0.5752997031860614,0.48057091233472915,0.6732146836893884,0.5608102507998077,0.4773847226827344,0.4180036065770124,0.58556637232917,150,8.0,100,150,0.5,balanced,entropy
6,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,73.53377180000098,0.5648358522431833,0.5384389021973635,0.026396950045819878,0.6615063810985157,0.6295843877754208,0.031921993323094866,0.5718587180016104,0.5892841510218052,0.49558539348304126,0.70221806079013,0.5810786614883275,0.47635024125348047,0.42285119210013244,0.5991575781369568,150,8.0,100,150,0.5,balanced,entropy
6,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,137.7033186999979,0.5621210630046982,0.55167304353046,0.010448019474238235,0.6591576548750469,0.6498501866549682,0.009307468220078663,0.6041848270905836,0.6057961179961057,0.5157700450572716,0.6148768353355175,0.5609798400637679,0.5967154006566938,0.41127953633526526,0.4903081560543249,150,8.0,100,150,0.5,balanced,entropy
6,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,70.45250759999908,0.5678802727317002,0.5538573890015704,0.01402288373012972,0.6611509880082187,0.6503900309703099,0.010760957037908803,0.5919710409166827,0.5976248037481217,0.50962889760192,0.6321046808713855,0.5642976921327876,0.5631449266248578,0.41801358787870724,0.5184720623365562,150,8.0,100,150,0.5,balanced,entropy
6,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,70.16640870000265,0.5643806074602562,0.5315172328209568,0.03286337463929945,0.6555699278348923,0.6418696825795582,0.013700245255334087,0.5748350584407158,0.5890444713612681,0.4870430834450224,0.6684819163850598,0.5635178708055525,0.5096070263374765,0.41056224859512713,0.5635095704366169,150,8.0,100,150,0.5,balanced,entropy
7,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,1068.1968408999965,0.5977135674151292,0.5289602382891915,0.06875332912593768,0.6896247938043875,0.6287552690756032,0.06086952472878426,0.5718653722027403,0.5808681042713403,0.490647747166682,0.6357652265274284,0.5538586351675098,0.5259709820152522,0.4180036065770124,0.5416353364696801,250,,100,150,0.5,balanced_subsample,entropy
7,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,789.9421376000028,0.5955006451000994,0.5446987245463109,0.050801920553788515,0.6915869165261918,0.6362137876655024,0.05537312886068935,0.5830311216986844,0.5926472494329262,0.505366813181476,0.6549691957857632,0.5705238700656936,0.5303253030800892,0.42285119210013244,0.5480266966549331,250,,100,150,0.5,balanced_subsample,entropy
7,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,1694.029329900004,0.5926811448178881,0.5515436819468719,0.04113746287101627,0.6882801260588617,0.6499982494299426,0.03828187662891913,0.6110918878634025,0.604498780987855,0.5251759772352853,0.5673421510334506,0.5454453539693959,0.6416554109422595,0.41127953633526526,0.4443010094423114,250,,100,150,0.5,balanced_subsample,entropy
7,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,764.7571004999991,0.5979241199649409,0.5559057110680825,0.04201840889685837,0.6910958663405992,0.650261731877946,0.04083413446265316,0.597204570105336,0.5996273957085867,0.515265799802419,0.6144031709898996,0.5604844418789549,0.5848516204272737,0.41801358787870724,0.49843958983504233,250,,100,150,0.5,balanced_subsample,entropy
7,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,772.1019191000014,0.5955313585616391,0.5334460064708457,0.062085352090793355,0.6867374427122893,0.6437958796662546,0.04294156304603469,0.584477027957719,0.5893095852314505,0.49514645277638525,0.6163259021547987,0.5491303186304595,0.5622932683081022,0.41056224859512713,0.5110410199593427,250,,100,150,0.5,balanced_subsample,entropy
8,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,287.8149712000013,0.5851570801714779,0.5287444887200914,0.05641259145138655,0.6772426768913389,0.6286389772405679,0.04860369965077094,0.6126456438272303,0.5694096959190578,0.5681179567570765,0.30576427138718204,0.39755968828588284,0.8330551204509336,0.4180036065770124,0.22497188600022625,250,12.0,50,200,0.5,,gini
8,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,284.78577249999944,0.5817698709627074,0.5459968718119704,0.03577299915073695,0.6779992442803598,0.6374230043419209,0.04057623993843895,0.6103632528396803,0.5599910559149804,0.6010895761184357,0.2335297774070956,0.33637445458151527,0.8864523344228652,0.42285119210013244,0.16428224459512514,250,12.0,50,200,0.5,,gini
