threshold,accuracy,balanced_accuracy,precision_risk,recall_risk,recall_alfabetizado,f1_risk,taxa_predita_risco,tp_risk,fp_risk,fn_risk,tn_risk,modelo
0.59,0.5846378348812125,0.5016597778913783,0.5784891508170372,0.006906178943429776,0.9964133768393268,0.013649407124617603,0.0049680298693979075,4319,3147,621063,874280,random_forest
0.6,0.5845027545083906,0.5012455363807323,0.5955809824422963,0.0048274494628882825,0.9976636232985764,0.009577270874342337,0.003373016797211089,3019,2050,622363,875377,random_forest
0.61,0.5842452367533066,0.5008591882661583,0.5725324027916251,0.0036729550898490842,0.9980454214424676,0.007299084516217187,0.002669667269759497,2297,1715,623085,875712,random_forest
0.62,0.5841900068471775,0.5007092313610213,0.577944392377382,0.0029581919530782784,0.9984602707689643,0.005886255275755151,0.0021300111990279536,1850,1351,623532,876076,random_forest
0.63,0.5841181414271541,0.5005666166125803,0.5751056473300038,0.0023937369479773963,0.9987394962771832,0.004767629800074842,0.0017320897066759647,1497,1106,623885,876321,random_forest
0.64,0.5840649077826923,0.5004806080226663,0.5667095667095667,0.002112308956765625,0.9988489070885669,0.0042089298771890975,0.0015510953155058293,1321,1010,624061,876417,random_forest
0.65,0.5839990311476708,0.5002675626596764,0.599437148217636,0.0010217754908200109,0.9995133498285328,0.0020400735575817944,0.0007093383124535454,639,427,624743,877000,random_forest
0.66,0.5838945601204145,0.5000657911430846,0.6122448979591837,0.00023985340160094152,0.9998917288845681,0.00047951894659277813,0.00016302803616427637,150,95,625232,877332,random_forest
0.67,0.5838765937654087,0.5000297355450896,0.6521739130434783,9.59413606403766e-05,0.9999635297295387,0.0001918544975490588,6.12186911310752e-05,60,32,625322,877395,random_forest
0.68,0.5838765937654087,0.5000297355450896,0.6521739130434783,9.59413606403766e-05,0.9999635297295387,0.0001918544975490588,6.12186911310752e-05,60,32,625322,877395,random_forest
0.69,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.7,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.71,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.72,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.73,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.74,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.75,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.76,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.77,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.78,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.79,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.8,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.81,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.82,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.83,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.84,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.85,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.86,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.87,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.88,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.89,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
0.9,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,random_forest
