candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,train_pr_auc_risk,validation_pr_auc_risk,pr_auc_gap_train_validation,train_roc_auc_literate,validation_roc_auc_literate,roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,max_bins
6,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,15.080883299997367,0.5789725514849244,0.5300588386781792,0.04891371280674528,0.6728376086029537,0.6306871855486383,0.04215042305431538,0.6115477006407996,0.5734162972857875,0.5578435969573825,0.3408975134515585,0.42318637234946543,0.8059350811200164,0.4180036065770124,0.25544147297396214,0.06197763962309192,230,15,,70,0.716404042819101,255
6,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,15.422527800001262,0.5767243549044779,0.5449188040332165,0.03180555087126147,0.6722318711616027,0.637023386224401,0.035208484937201634,0.6109920748464543,0.5708063323918843,0.5740126313338572,0.31036327728513763,0.402888499624638,0.8312493874986309,0.42285119210013244,0.22863169662166208,0.06197763962309192,230,15,,70,0.716404042819101,255
6,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,31.669757499999832,0.5754590701980712,0.5537141890921897,0.021744881105881464,0.6711695729571844,0.6503869243293204,0.020782648627863942,0.6345080216394621,0.5862522780426819,0.6076131494166589,0.3142984265663552,0.41429538753552253,0.8582061295190085,0.41127953633526526,0.21274146432350063,0.06197763962309192,230,15,,70,0.716404042819101,255
6,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,18.99185910000233,0.5748210918659151,0.5534068984113216,0.0214141934545935,0.6703450545309988,0.6510103266867984,0.019334727844200428,0.6297735575355501,0.5938024270544391,0.5900806542653939,0.3744299142782098,0.4581470768691384,0.8131749398306684,0.41801358787870724,0.2652464383388452,0.06197763962309192,230,15,,70,0.716404042819101,255
6,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,31.897788700000092,0.5783567929456598,0.5410753911444395,0.037281401801220304,0.6707073038938979,0.6510361151365619,0.019671188757335978,0.6353884901900113,0.5918558424941459,0.5956506683288316,0.3484874269645621,0.43971696473306954,0.8352242580237297,0.41056224859512713,0.24020082445826305,0.06197763962309192,230,15,,70,0.716404042819101,255
7,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,16.39780050000263,0.5864078508566626,0.5273582371553522,0.059049613701310344,0.6792075781136807,0.628669664909945,0.050537913203735685,0.6108556637232917,0.5693532715283612,0.5612587926212604,0.31627877359992357,0.4045735463310832,0.8224277694567989,0.4180036065770124,0.23555206579674076,0.0705166262783807,159,31,,28,1.0988100318524603,255
7,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,12.755658999994921,0.5838060926344827,0.539868970031215,0.04393712260326765,0.6789402355141755,0.6298187117117489,0.049121523802426625,0.6084900952216181,0.5664868816381591,0.5720425831319405,0.29426482969164314,0.3886195842490557,0.838708933584675,0.42285119210013244,0.2175191807347569,0.0705166262783807,159,31,,28,1.0988100318524603,255
7,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,26.440012999999453,0.5824748441535201,0.5526837858917917,0.029791058261728454,0.6779240744254234,0.6485762410380647,0.02934783338735869,0.6345180029411569,0.588894036419553,0.60082919468495,0.33177203413825185,0.427488872906178,0.846016038700854,0.41127953633526526,0.22710455746235386,0.0705166262783807,159,31,,28,1.0988100318524603,255
7,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,12.792531099999906,0.5827156577795829,0.5512399252199011,0.031475732559681835,0.6769575835466841,0.6482951885621537,0.02866239498453038,0.6262801019423613,0.5892268638283941,0.5853780542551145,0.36325504023432215,0.44831142806624624,0.8151986874224659,0.41801358787870724,0.25939739554567776,0.0705166262783807,159,31,,28,1.0988100318524603,255
7,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,26.06199370000104,0.5853875481149419,0.5385226054846112,0.0468649426303307,0.6768084627800957,0.6485306197780313,0.028277843002064373,0.6344934971603102,0.5914224999167466,0.5927610488533304,0.35063493221176834,0.44062670258104925,0.8322100676217248,0.41056224859512713,0.24285918665428982,0.0705166262783807,159,31,,28,1.0988100318524603,255
8,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,53.36408669999946,0.5955277495171643,0.5297067406169487,0.06582100890021558,0.6876984582985133,0.6298641146297929,0.05783434366872042,0.6123861299831649,0.5756706763812575,0.5576204895281353,0.35178611226081696,0.4314091051069811,0.7995552405016979,0.4180036065770124,0.26370599077727724,0.04648969488407204,287,63,10.0,191,0.011166029133981346,255
8,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,24.996095499998773,0.5931967339722812,0.5396881407862134,0.05350859318606782,0.6874324250131004,0.6323389078883204,0.055093517124780056,0.6090823191221778,0.5644125933278177,0.5796118115461181,0.27490892496046204,0.37293526815496364,0.8539162616951732,0.42285119210013244,0.20055762205468422,0.04648969488407204,287,63,10.0,191,0.011166029133981346,255
8,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,54.68213829999877,0.5924322325912168,0.5495227546278272,0.04290947796338962,0.6864454295543875,0.6475527873518289,0.038892642202558614,0.6330407702903228,0.5890487165763337,0.593790044356826,0.3411236500424706,0.43331449416842216,0.8369737831101969,0.41127953633526526,0.23627404661933313,0.04648969488407204,287,63,10.0,191,0.011166029133981346,255
8,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,25.267698399999063,0.5924219514585655,0.552582420332058,0.03983953112650751,0.6857446470223103,0.6491239863061491,0.03662066071616121,0.625385111890392,0.5889972779486498,0.582352644072933,0.36708346930491326,0.4503136670979081,0.8109110865923863,0.41801358787870724,0.26349305634112097,0.04648969488407204,287,63,10.0,191,0.011166029133981346,255
8,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,54.15496610000264,0.594616583380173,0.537546454297736,0.05707012908243703,0.6857165435066535,0.6464526342618553,0.03926390924479817,0.6322310612487981,0.5889819931507108,0.5883063740971631,0.3471989238162384,0.43668237992100906,0.830765062485183,0.41056224859512713,0.24230023189968092,0.04648969488407204,287,63,10.0,191,0.011166029133981346,255
9,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,45.15974930000084,0.583196185282774,0.5290635618346472,0.05413262344812675,0.6764947710303573,0.6292921639394916,0.047202607090865656,0.6092752909549444,0.5700880860090722,0.5546563562429171,0.33113120443185073,0.41469091561545246,0.8090449675862936,0.4180036065770124,0.2495491778734504,0.032022428000607145,263,31,,123,0.3058656666978526,255
9,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,21.476172099995892,0.581651202525463,0.5415138131005505,0.04013738942491252,0.6763675191969433,0.6337922466360688,0.042575272560874455,0.6069296850566606,0.5610489379851631,0.5770614873357783,0.2636966630734974,0.36198088243235943,0.8584012128968288,0.42285119210013244,0.1932280195101177,0.032022428000607145,263,31,,123,0.3058656666978526,255
9,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,44.74127749999752,0.5794183576157762,0.552327867301199,0.02709049031457722,0.6751429259882397,0.6484262253801988,0.026716700608040878,0.6344714235332477,0.5847070585632925,0.6118531292196067,0.30425110221251467,0.4064100624581271,0.8651630149140703,0.41127953633526526,0.20451354462639987,0.032022428000607145,263,31,,123,0.3058656666978526,255
