feature,profile_type,level_or_bin,n,value_min,value_mean,value_max,mean_shap_risk,median_shap_risk,mean_abs_shap_risk,actual_risk_rate,predicted_risk_mean
razao_matriculas_docentes_anos_iniciais,quantile,"(17.855, 20.312]",4018,17.864197530864196,19.050614082292682,20.312065860560843,0.008660704191142737,0.006208603803062631,0.009568618262517896,0.4133897461423594,0.42868749636468767
razao_matriculas_docentes_anos_iniciais,quantile,"(20.312, 23.648]",3943,20.321428571428573,21.802728659529087,23.64681724845996,0.008136465338740835,0.005546394314558877,0.008843692354461313,0.42252092315495815,0.4407381902414975
razao_matriculas_docentes_anos_iniciais,quantile,"(23.648, 121.0]",4000,23.650602409638555,27.56505753871275,121.0,0.023788234357292715,0.02636853720029395,0.03783161554929218,0.46175,0.4650573243003811
razao_matriculas_docentes_anos_iniciais,quantile,"(4.9159999999999995, 14.925]",4007,4.916666666666667,12.780857785157853,14.925064599483203,-0.013545739038544051,-0.015628496260842003,0.020073079911109258,0.3511355128525081,0.34542976897163963
proporcao_matriculas_integral_anos_iniciais,quantile,"(-0.001, 0.0161]",4003,0.0,0.004788633473808873,0.01608125264494287,0.020657322536249488,0.0194586710595174,0.020794453349737105,0.4051961029228079,0.4001549061178838
proporcao_matriculas_integral_anos_iniciais,quantile,"(0.0161, 0.0481]",3997,0.016191709844559584,0.030024679769511335,0.048038658328595794,0.01581661487962895,0.013946457340785355,0.016192820600355307,0.4453340005003753,0.4501490651075007
proporcao_matriculas_integral_anos_iniciais,quantile,"(0.0481, 0.106]",4027,0.04807339449541284,0.07599106150826539,0.1060524700828475,0.014759698558041491,0.013747484102907524,0.014993772027186466,0.43059349391606655,0.43577655478337696
proporcao_matriculas_integral_anos_iniciais,quantile,"(0.106, 0.247]",3975,0.10612244897959183,0.15676165688891414,0.247498332221481,0.009687032095431066,0.011511641975187703,0.01204721636394505,0.39547169811320754,0.41061419636276486
proporcao_matriculas_integral_anos_iniciais,quantile,"(0.247, 1.0]",3998,0.24797715373631604,0.5257966287674427,1.0,-0.08581351705906476,-0.07307124102096976,0.08582711144555413,0.3341670835417709,0.3662213868214602
sigla_uf,category,AC,110,,,,0.11994822228854574,0.11926269862028127,0.11994822228854574,0.4818181818181818,0.5275691020714137
sigla_uf,category,AL,341,,,,0.345837217953547,0.3663402287401787,0.34584130159845516,0.5102639296187683,0.5352532665562412
sigla_uf,category,AM,504,,,,0.06796557258655465,0.06925696972095448,0.06968629409291888,0.501984126984127,0.47356981125044356
sigla_uf,category,AP,121,,,,0.1789067312124928,0.16827946318056775,0.1789067312124928,0.5289256198347108,0.5665422321650417
sigla_uf,category,BA,1124,,,,0.6666463910515614,0.6676382608255477,0.6666463910515614,0.6405693950177936,0.613132701921928
sigla_uf,category,CE,952,,,,-1.420199679405856,-1.524634696330311,1.420199679405856,0.14705882352941177,0.1538355565028923
sigla_uf,category,DF,239,,,,0.10278259260236568,0.1027825926023657,0.10278259260236568,0.40585774058577406,0.5450308642916151
sigla_uf,category,ES,462,,,,-0.2866122532810072,-0.2748466215159574,0.2866122532810072,0.2792207792207792,0.3259571850442236
sigla_uf,category,GO,764,,,,-0.32094232324269817,-0.31147150288572456,0.32094232324269817,0.2696335078534031,0.32677382260411036
sigla_uf,category,MA,680,,,,-0.051684304817923465,-0.055998202425230986,0.07289116433567315,0.3985294117647059,0.4281238522338671
sigla_uf,category,MG,1952,,,,0.05171576245619259,0.05278967679444676,0.051745098595634295,0.274077868852459,0.3803439003799506
sigla_uf,category,MS,402,,,,0.34641356821858144,0.3688722545449782,0.34641356821858144,0.43532338308457713,0.5151187089530613
sigla_uf,category,MT,487,,,,0.09653565552638065,0.09676614113482383,0.09653565552638065,0.39014373716632444,0.4395183416972364
sigla_uf,category,PA,898,,,,0.11984515547620264,0.11649071477403665,0.11984515547620264,0.512249443207127,0.504937970205861
sigla_uf,category,PB,335,,,,0.09383543239343711,0.09174681424607034,0.09383543239343711,0.43283582089552236,0.4704829039662291
sigla_uf,category,PE,820,,,,-0.1277063122200045,-0.12989542239950552,0.1277063122200045,0.38902439024390245,0.4099518196776647
sigla_uf,category,PI,335,,,,0.09467392363684249,0.1001436207481427,0.09468332125477626,0.3970149253731343,0.4609118636621432
sigla_uf,category,PR,1294,,,,-0.19950173822220654,-0.20364097429147615,0.19950173822220654,0.2921174652241113,0.2638631790751928
sigla_uf,category,RJ,1358,,,,0.08359692470988397,0.07821661029695226,0.08359692470988397,0.4410898379970545,0.46486161975310547
sigla_uf,category,RN,247,,,,0.5678889482325601,0.5744246207858981,0.5678889482325601,0.5991902834008097,0.5954832819401481
sigla_uf,category,RO,216,,,,-0.23952211536882295,-0.23999637197470305,0.23952211536882295,0.37037037037037035,0.34983006331203054
sigla_uf,category,RS,968,,,,0.08522720915121608,0.08541658858899212,0.08522720915121608,0.5423553719008265,0.3523276077690544
sigla_uf,category,SC,746,,,,0.1686555470427447,0.17074750446810733,0.1686555470427447,0.3632707774798928,0.3580276653998304
sigla_uf,category,SE,192,,,,0.8564235825906169,0.8411158382921738,0.8564235825906169,0.6145833333333334,0.6709715016029114
sigla_uf,category,SP,4271,,,,0.07514137377105125,0.07299363629667016,0.07514137377105125,0.4144228517911496,0.40951256830727933
sigla_uf,category,TO,182,,,,0.4801059652088393,0.5589202660153734,0.4801059652088393,0.5,0.5534043368521461
